PersonID,FullName,PreferredName,SearchName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress,CustomFields,OtherLanguages,LastEditedBy,ValidFrom,ValidTo
1,Data Conversion Only,Data Conversion Only,Data Conversion Only Data Conversion Only,FALSE,NO LOGON,FALSE,FALSE,FALSE,FALSE,"{""theme"":""blitzer"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",,,,,,1,42521.96806,2958466
2,Kayla Woodcock,Kayla,Kayla Kayla Woodcock,TRUE,kaylaw@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,kaylaw@wideworldimporters.com,"{ ""OtherLanguages"": [""Polish"",""Chinese"",""Japanese""] ,""HireDate"":""2008-04-19T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""0.98""}","[""Polish"",""Chinese"",""Japanese""]",1,42521.96806,2958466
3,Hudson Onslow,Hudson,Hudson Hudson Onslow,TRUE,hudsono@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""dark-hive"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsono@wideworldimporters.com,"{ ""OtherLanguages"": [] ,""HireDate"":""2012-03-05T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""3.62""}",[],1,42521.96806,2958466
4,Isabella Rupp,Isabella,Isabella Isabella Rupp,TRUE,isabellar@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,isabellar@wideworldimporters.com,"{ ""OtherLanguages"": [""Turkish"",""Slovenian""] ,""HireDate"":""2010-08-24T00:00:00"",""Title"":""Team Member""}","[""Turkish"",""Slovenian""]",1,42521.96806,2958466
5,Eva Muirden,Eva,Eva Eva Muirden,FALSE,evam@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,evam@wideworldimporters.com,"{ ""OtherLanguages"": [""Lithuanian""] ,""HireDate"":""2012-01-22T00:00:00"",""Title"":""Team Member""}","[""Lithuanian""]",1,42521.96806,2958466
6,Sophia Hinton,Sophia,Sophia Sophia Hinton,TRUE,sophiah@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,sophiah@wideworldimporters.com,"{ ""OtherLanguages"": [""Swedish""] ,""HireDate"":""2007-05-14T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""4.55""}","[""Swedish""]",1,42521.96806,2958466
7,Amy Trefl,Amy,Amy Amy Trefl,TRUE,amyt@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,amyt@wideworldimporters.com,"{ ""OtherLanguages"": [""Slovak"",""Spanish"",""Polish""] ,""HireDate"":""2009-02-15T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""0.58""}","[""Slovak"",""Spanish"",""Polish""]",1,42521.96806,2958466
8,Anthony Grosse,Anthony,Anthony Anthony Grosse,TRUE,anthonyg@wideworldimporters.com,FALSE,TRUE,TRUE,TRUE,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,anthonyg@wideworldimporters.com,"{ ""OtherLanguages"": [""Croatian"",""Dutch"",""Bokmål""] ,""HireDate"":""2010-07-23T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Mideast"",""CommissionRate"":""0.11""}","[""Croatian"",""Dutch"",""Bokmål""]",1,42521.96806,2958466
9,Alica Fatnowna,Alica,Alica Alica Fatnowna,TRUE,alicaf@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,alicaf@wideworldimporters.com,"{ ""OtherLanguages"": [] ,""HireDate"":""2007-12-07T00:00:00"",""Title"":""General Manager""}",[],1,42521.96806,2958466
10,Stella Rosenhain,Stella,Stella Stella Rosenhain,TRUE,stellar@wideworldimporters.com,FALSE,TRUE,TRUE,FALSE,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,stellar@wideworldimporters.com,"{ ""OtherLanguages"": [""Dutch"",""Finnish"",""Lithuanian""] ,""HireDate"":""2007-11-17T00:00:00"",""Title"":""Warehouse Supervisor""}","[""Dutch"",""Finnish"",""Lithuanian""]",1,42521.96806,2958466
